epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,5782.15,1.0391,0.62908,1.2631,0.84022,0.745,0.79281,0.50731,1.24545,0.44142,1.41298,0.0063865,0.0063865,0.0063865
75,5859.54,1.03411,0.62534,1.26141,0.78394,0.79043,0.7852,0.5209,1.20745,0.43147,1.37498,0.006337,0.006337,0.006337
76,5937.37,1.03182,0.61961,1.25554,0.7526,0.82082,0.78493,0.52017,1.21362,0.43534,1.37968,0.0062875,0.0062875,0.0062875
77,6014.92,1.03469,0.62545,1.24908,0.8512,0.76661,0.78524,0.52311,1.21557,0.42896,1.37642,0.006238,0.006238,0.006238
78,6092.96,1.03153,0.61949,1.25156,0.87871,0.74682,0.77507,0.51808,1.19815,0.42398,1.35704,0.0061885,0.0061885,0.0061885
79,6170.51,1.02474,0.6257,1.25016,0.88169,0.79152,0.80186,0.52265,1.22895,0.43249,1.38999,0.006139,0.006139,0.006139
80,6247.72,1.0322,0.61274,1.25795,0.84176,0.74954,0.77539,0.51254,1.20475,0.43088,1.37887,0.0060895,0.0060895,0.0060895
81,6325.4,1.02044,0.60557,1.25597,0.84592,0.70999,0.76424,0.50026,1.19386,0.43353,1.37167,0.00604,0.00604,0.00604
82,6403.02,1.02377,0.60918,1.24704,0.86409,0.74104,0.78148,0.51263,1.2264,0.43636,1.38891,0.0059905,0.0059905,0.0059905
83,6480.19,1.0262,0.61116,1.24737,0.84577,0.76524,0.79452,0.51965,1.20956,0.43284,1.38063,0.005941,0.005941,0.005941
84,6557.19,1.02609,0.61141,1.24684,0.78408,0.78389,0.77578,0.50403,1.20399,0.43005,1.37191,0.0058915,0.0058915,0.0058915
85,6634.11,1.02375,0.61062,1.24959,0.80251,0.79403,0.78656,0.5127,1.2207,0.4318,1.395,0.005842,0.005842,0.005842
86,6711.98,1.01709,0.60696,1.24317,0.83568,0.77413,0.79788,0.51398,1.24237,0.43454,1.42047,0.0057925,0.0057925,0.0057925
87,6789.72,1.01333,0.59794,1.24331,0.89624,0.73783,0.81526,0.51895,1.24161,0.42808,1.41028,0.005743,0.005743,0.005743
88,6867.28,1.02652,0.60948,1.24488,0.77912,0.79999,0.80422,0.51484,1.24353,0.42703,1.40237,0.0056935,0.0056935,0.0056935
89,6945.54,1.02053,0.59988,1.24307,0.80756,0.74664,0.78496,0.50909,1.23166,0.43366,1.38611,0.005644,0.005644,0.005644
